% Model:              xy - DO NOT TOUCH - Copy.mph
% Version:            COMSOL 5.5.0.359
% Date:               Aug 4 2020, 14:13
% Table:              Table 1 - Global Evaluation 1
% freq (GHz)             Imag Y11                 Real Y11 (1)
5.800000000000001        -2.038802707639521E-4    1.2404856974505852E-8
5.804                    -1.9974853695491328E-4   1.2422232627703136E-8
5.808000000000001        -1.9561969928461563E-4   1.2439616285232241E-8
5.811999999999999        -1.9149375167535568E-4   1.2457012634807606E-8
5.816000000000001        -1.8737068806978178E-4   1.247442167219656E-8
5.82                     -1.832505024271353E-4    1.249184340517075E-8
5.824000000000001        -1.7913318872318047E-4   1.2509277832342455E-8
5.827999999999999        -1.750187409501557E-4    1.2526724962038429E-8
5.832000000000001        -1.709071531167043E-4    1.2544184797728182E-8
5.836                    -1.667984192478436E-4    1.2561657318039967E-8
5.840000000000001        -1.626925333848804E-4    1.2579142549341681E-8
5.843999999999999        -1.5858948958537462E-4   1.2596640489204773E-8
5.848000000000001        -1.5448928192306633E-4   1.2614151132425132E-8
5.852                    -1.5039190448784719E-4   1.2631674475880317E-8
5.856000000000001        -1.46297351385675E-4     1.2649210528244028E-8
5.859999999999999        -1.4220561673853856E-4   1.2666759298467512E-8
5.864000000000001        -1.3811669468439917E-4   1.2684320782734442E-8
5.868                    -1.3403057937712987E-4   1.2701894970220196E-8
5.872000000000001        -1.2994726498646901E-4   1.2719481875288369E-8
5.8759999999999994       -1.258667456979644E-4    1.2737081490445013E-8
5.880000000000001        -1.2178901571290599E-4   1.2754693834355842E-8
5.884                    -1.1771406924829947E-4   1.2772318895294182E-8
5.888000000000001        -1.136419005367986E-4    1.2789956671455984E-8
5.8919999999999995       -1.0957250382663672E-4   1.2807607171445553E-8
5.896000000000001        -1.0550587338159284E-4   1.2825270402410028E-8
5.9                      -1.014420034809501E-4    1.2842946353247228E-8
5.904000000000001        -9.738088841940596E-5    1.286063503450436E-8
5.9079999999999995       -9.332252250706394E-5    1.2878336436744576E-8
5.912000000000001        -8.926690006933087E-5    1.2896050578564208E-8
5.916                    -8.521401544692208E-5    1.2913777447403909E-8
5.92                     -8.116386299576554E-5    1.2931517043333133E-8
5.9239999999999995       -7.711643708696895E-5    1.2949269383074706E-8
5.928                    -7.307173210676331E-5    1.296703445934285E-8
5.932                    -6.902974245646346E-5    1.298481227623158E-8
5.936                    -6.499046255240091E-5    1.3002602828328625E-8
5.9399999999999995       -6.0953886825882136E-5   1.302040611577283E-8
5.944                    -5.692000972313139E-5    1.3038222157507463E-8
5.948                    -5.288882570525727E-5    1.3056050933964892E-8
5.952                    -4.886032924818033E-5    1.3073892456386205E-8
5.9559999999999995       -4.483451484259835E-5    1.309174673046137E-8
5.96                     -4.08113769939291E-5     1.3109613754525121E-8
5.964                    -3.6790910222279146E-5   1.3127493524275406E-8
5.968                    -3.2773109062357066E-5   1.3145386048524698E-8
5.972                    -2.875796806346394E-5    1.3163291321999502E-8
5.976                    -2.474548178941962E-5    1.3181209356704187E-8
5.98                     -2.073564481852499E-5    1.3199140147989758E-8
